Player,Team,Link
"Pettis, Dante",SF,/player/dantepettis/2560836/
"Poindexter, Shawn",SF,/player/shawnpoindexter/2563094/
"Powell, Brandon",ATL,/player/brandonpowell/2561261/
"Pringle, Byron",KC,/player/byronpringle/2560844/
"Quinn, Trey",WAS,/player/treyquinn/2560847/
"Rahming, T.J.",MIA,/player/t.j.rahming/2563032/
"Ratley, Damion",CLE,/player/damionratley/2561054/
"Ratliff-Williams, Anthony",LV,/player/anthonyratliff-williams/2562812/
"Raymond, Kalif",TEN,/player/kalifraymond/2556661/
"Renfrow, Hunter",LV,/player/hunterrenfrow/2562712/
"Reynolds, Josh",LA,/player/joshreynolds/2558194/
"Richardson, A.J.",ARI,/player/a.j.richardson/2563019/
"Richardson, Paul",WAS,/player/paulrichardson/2543491/
"Ridley, Calvin",ATL,/player/calvinridley/2560854/
"Ridley, Riley",CHI,/player/rileyridley/2562713/
"Roberts, Andre",BUF,/player/andreroberts/497320/
"Roberts, Seth",BAL,/player/sethroberts/2550597/
"Robinson, Allen",CHI,/player/allenrobinson/2543509/
"Robinson, Demarcus",KC,/player/demarcusrobinson/2555478/
"Rogers, Chester",IND,/player/chesterrogers/2556396/
"Ross, Devin",NE,/player/devinross/2561400/
"Ross, John",CIN,/player/johnross/2558010/
"Samuel, Curtis",CAR,/player/curtissamuel/2558066/
"Samuel, Deebo",SF,/player/deebosamuel/2562721/
"Sanders, Emmanuel",SF,/player/emmanuelsanders/497322/
"Sanu, Mohamed",NE,/player/mohamedsanu/2533040/
"Schnell, Spencer",TB,/player/spencerschnell/2563283/
"Scott, Artavis",IND,/player/artavisscott/2559246/
"Scott, Da'Mari",NYG,/player/da'mariscott/2561403/
"Scott, Jaleel",BAL,/player/jaleelscott/2560867/
"Sharpe, Tajae",TEN,/player/tajaesharpe/2555317/
"Shepard, Russell",NYG,/player/russellshepard/2541944/
"Shepard, Sterling",NYG,/player/sterlingshepard/2555295/
"Shepherd, Darrius",GB,/player/darriusshepherd/2563128/
"Sherfield, Trent",ARI,/player/trentsherfield/2561272/
"Sills, David",NYG,/player/davidsills/2562732/
"Sims, Cam",WAS,/player/camsims/2561067/
"Sims, Steven",WAS,/player/stevensims/2563033/
"Slater, Matthew",NE,/player/matthewslater/4487/
"Slayton, Darius",NYG,/player/dariusslayton/2562736/
"Smith, Devin",DAL,/player/devinsmith/2553434/
"Smith, Jeff",NYJ,/player/jeffsmith/2562845/
"Smith, Tre'Quan",NO,/player/tre'quansmith/2560878/
"Smith, Vyncint",NYJ,/player/vyncintsmith/2561427/
"Smith-Schuster, JuJu",PIT,/player/jujusmith-schuster/2558149/
"Snead, Willie",BAL,/player/williesnead/2550256/
"Spencer, Diontae",DEN,/player/diontaespencer/2550734/
"St. Brown, Equanimeous",GB,/player/equanimeousst.brown/2560883/
"Stills, Kenny",HOU,/player/kennystills/2540202/
"Sutton, Courtland",DEN,/player/courtlandsutton/2560888/
"Switzer, Ryan",PIT,/player/ryanswitzer/2557960/
"Tate, Auden",CIN,/player/audentate/2560890/
"Tate, Golden",NYG,/player/goldentate/497326/
"Taylor, Malik",GB,/player/maliktaylor/2562995/
